species,sex,metric,n,mean,std_error,dimorphism_percent,eligibility,sample_policy,size_metric,model_strategy,outlier_policy,uncertainty_method,universe
Adelie,Female,culmen_length_mm,66,37.23939393939394,0.25935080137128763,8.499471071690134,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Adelie,Female,culmen_depth_mm,66,17.61363636363636,0.11593114192184252,8.249462365591409,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Adelie,Female,flipper_length_mm,66,188.22727272727272,0.6622682836346387,2.237784754085159,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Adelie,Female,body_mass_g,66,3377.651515151515,33.96457425260158,19.412358416507814,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Adelie,Female,size_score,66,-2.2076578884986224,0.653835088447984,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Adelie,Male,culmen_length_mm,66,40.404545454545456,0.2874648600653815,8.499471071690134,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Adelie,Male,culmen_depth_mm,66,19.066666666666663,0.12991539892565038,8.249462365591409,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Adelie,Male,flipper_length_mm,66,192.43939393939394,0.8108037360001428,2.237784754085159,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Adelie,Male,body_mass_g,66,4033.3333333333335,40.622104821825765,19.412358416507814,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Adelie,Male,size_score,66,2.5595895696116906,0.8164324181809005,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Chinstrap,Female,culmen_length_mm,27,46.229629629629635,0.46036077809270426,10.695401377984304,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Chinstrap,Female,culmen_depth_mm,27,17.581481481481482,0.15571149421688366,9.458605435011581,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
